회사명,산업,매출액,사원수,학업성취도,외국어,전문능력,대외활동,스펙지수
쌍용건설(주),건설·시공·토목·조경,"1조 2,000억원","1,200명 재직중",8.0,8.4,6.0,1.5,264
한국전자통신연구원,공기업·공공기관,"5,669억 1,280만원","2,257명 재직중",8.0,7.4,7.5,1.5,239
롯데홈쇼핑,백화점·유통·도소매,"1조 1,027억 2,596만원","1,041명 재직중",8.2,9.0,6.7,4.1,300
삼양식품(주),식품가공,"6,308억 6,773만원","1,808명 재직중",8.0,8.1,6.1,4.3,290
아이에스동서㈜,건설·시공·토목·조경,"9,319억",654명 재직중,8.1,8.5,7.0,4.3,308
한국고용정보원,기타 사회서비스 관리 행정,"1,091억 9,434만원",289명 재직중,8.0,7.3,7.7,2.8,263
㈜넵스,목재·제지·가구,893억 4천만,125명 재직중,7.9,8.3,7.0,3.0,282
케이비증권㈜,증권·보험·카드,"8조 3,609억 2,434만원","2,822명 재직중",8.2,8.4,7.7,1.5,230
잡코리아(유),포털·컨텐츠·커뮤니티,440명 재직중,공기업·공공기관,7.6,7.7,5.5,3.8,277
쌍용건설(주),건설·시공·토목·조경,"1조 2,000억원","1,200명 재직중",8.0,8.4,6.0,1.5,264
한국전자통신연구원,공기업·공공기관,"5,669억 1,280만원","2,257명 재직중",8.0,7.4,7.5,1.5,239
롯데홈쇼핑,백화점·유통·도소매,"1조 1,027억 2,596만원","1,041명 재직중",8.2,9.0,6.7,4.1,300
삼양식품(주),식품가공,"6,308억 6,773만원","1,808명 재직중",8.0,8.1,6.1,4.3,290
아이에스동서㈜,건설·시공·토목·조경,"9,319억",654명 재직중,8.1,8.5,7.0,4.3,308
한국고용정보원,기타 사회서비스 관리 행정,"1,091억 9,434만원",289명 재직중,8.0,7.3,7.7,2.8,263
㈜넵스,목재·제지·가구,893억 4천만,125명 재직중,7.9,8.3,7.0,3.0,282
케이비증권㈜,증권·보험·카드,"8조 3,609억 2,434만원","2,822명 재직중",8.2,8.4,7.7,1.5,230
잡코리아(유),포털·컨텐츠·커뮤니티,440명 재직중,공기업·공공기관,7.6,7.7,5.5,3.8,277
SK플래닛,네트워크·통신서비스,"2,806억 2,992만원",832명 재직중,8.0,8.4,3.8,5.7,238
STX엔진(주),기계·기계설비,"4,582억 8,206만원",865명 재직중,8.3,8.1,4.9,2.4,191
데상트코리아(주),섬유·의류·패션,"6,784억",580명 재직중,8.2,8.6,5.5,4.1,320
(주)동아일보사,출판·인쇄·사진,"2,540억 2,950만원",793명 재직중,7.7,8.4,5.1,3.5,260
한국수력원자력(주),공기업·공공기관,"9조 3,243억 9,119만원","12,570명 재직중",8.0,7.8,6.8,3.2,322
㈜마크로젠,제약·보건·바이오,1017억 원,498명 재직중,7.8,8.3,5.2,1.1,255
LG디스플레이,반도체·디스플레이·광학,"28조 3,649억 1,400만원","27,687명 재직중",8.1,8.2,4.5,3.5,289
현대이지웰,IT컨설팅,"1,300억",300명 재직중,7.9,7.9,6.8,2.4,241
LG 이노텍,전기·전자·제어,"14조 5,948억 1,551만원","10,709명 재직중",8.1,8.3,5.2,2.9,280
한국남동발전(주),공기업·공공기관,"5조 1,888억 5,619만원","2,819명 재직중",7.8,8.4,7.3,3.2,351
스투트가르트스포츠카(주),자동차·조선·철강·항공,"7,115억 3,622만원",280명 재직중,7.4,8.1,6.9,1.5,315
(주)현대L&C,화학·에너지·환경,"8,459억 447만원",800명 재직중,8.5,7.8,5.7,5.0,285
서울주택도시공사,공기업·공공기관,"2조 4,927억 5,520만원","1,310명 재직중",8.1,9.0,7.8,3.8,392
에스넷시스템(주),네트워크·통신서비스,"1,817억 4,906만원",400명 재직중,7.5,7.4,8.2,2.4,249
대웅바이오㈜,제약·보건·바이오,"3,892억 142만원",332명 재직중,7.8,8.5,7.5,2.5,300
(주)컴투스,게임·애니메이션,4854억원,"1,274명 재직중",7.9,8.4,5.4,3.1,256
(주)티비에이치글로벌,섬유·의류·패션,2000억,313명 재직중,7.7,8.3,6.6,1.7,235
(주)평화엔지니어링,건설·시공·토목·조경,"730억 2,445만원",574명 재직중,7.4,8.6,7.5,1.9,206
㈜평화발레오,자동차·조선·철강·항공,"6,700억 8,032만원",706명 재직중,7.8,8.0,6.0,2.0,293
한국파파존스,음식료·외식·프랜차이즈,"617억 9,429만원",250명 재직중,7.5,8.1,5.2,1.7,225
(주)이노와이어리스,네트워크·통신서비스,968억,373명 재직중,7.9,7.7,6.6,3.1,253
(주)코오롱,섬유·의류·패션,9조 3천억원,"11,289명 재직중",8.1,8.3,5.5,2.3,262
GS리테일,백화점·유통·도소매,"9조 3,349억 8,691만원","5,474명 재직중",8.0,8.4,6.6,4.7,335
한화호텔앤드리조트㈜,호텔·여행·항공,"4,737억 7,960만원","3,117명 재직중",8.0,8.5,5.9,2.7,245
한국유나이티드제약(주),제약·보건·바이오,2159억,834명 재직중,7.6,7.5,5.6,1.7,214
라이온코리아(주),생활용품·소비재·기타,"18,45억원",298명 재직중,8.6,7.7,4.0,1.0,215
금호리조트(주),호텔·여행·항공,"702억 2,470만원",404명 재직중,8.0,8.8,6.5,2.7,236
현대자동차(주),자동차·조선·철강·항공,"55조 6,051억 2,000만원","71,980명 재직중",8.3,8.5,5.2,4.4,304
(주)쁘띠엘린,백화점·유통·도소매,500억,178명 재직중,8.2,8.3,6.7,4.7,301
SK에코플랜트㈜,건설·시공·토목·조경,7조 5천억,"4,847명 재직중",8.1,8.2,5.7,3.3,289
(주)엠씨넥스,전기·전자·제어,"8,176억 2,889만원",455명 재직중,7.9,7.5,6.0,2.3,265
(주)네오바이오텍,제약·보건·바이오,572억원,400명 재직중,7.6,8.0,7.0,2.3,237
근로복지공단,산업재해 및 기타 사회보장 보험업,"8,724억 486만원","6,360명 재직중",8.1,8.0,8.1,2.8,255
NHN여행박사,호텔·여행·항공,"2,000억",300명 재직중,8.4,8.0,3.6,4.3,242
(주)비에이치,전기·전자·제어,1조 369억,"1,500명 재직중",7.7,7.9,7.5,2.5,296
한국야금(주),금속·재료·자재,"1,833억 8,176만원",690명 재직중,8.2,8.6,5.8,4.2,385
이트너스(주),컨설팅·연구·조사,996억,606명 재직중,7.7,8.3,5.3,2.5,261
(주)한화,기계·기계설비,"3조 9,355억 6,852만원","4,750명 재직중",8.2,8.6,4.9,2.4,288
LG CNS,컴퓨터·하드웨어·장비,"3조 8,267억 8,102만원","6,358명 재직중",7.9,8.4,5.5,3.2,271
㈜신세계까사,목재·제지·가구,"1,710억",447명 재직중,8.0,7.5,5.9,2.4,236
롯데쇼핑(주),백화점·유통·도소매,"8조 4,082억 299만원","13,794명 재직중",8.0,8.7,4.8,2.8,239
현대건설(주),건설·시공·토목·조경,"10조 2,463억 1,500만원","6,238명 재직중",7.9,8.4,5.8,2.9,289
웅진식품㈜,음식료·외식·프랜차이즈,"2,417억 652만원",271명 재직중,7.7,8.3,5.4,3.5,273
(주)대웅제약,제약·보건·바이오,"1조 551억 6,953만원","1,510명 재직중",7.9,8.1,5.3,2.6,249
(주)해커스어학원,학원·어학원·교육원,"244억 2,390만원",921명 재직중,8.0,8.8,5.7,5.1,390
크래프톤,게임·애니메이션,1조1200억,"2,510명 재직중",8.4,9.0,6.7,1.7,293
한국산업기술진흥협회,공기업·공공기관,"838억 1,525만원",123명 재직중,7.7,7.6,5.5,2.8,247
(주)슈피겐코리아,생활용품·소비재·기타,3085억 5천만원,342명 재직중,7.7,8.7,6.4,5.4,380
(주)이마트,백화점·유통·도소매,"15조 538억 1,146만원","24,295명 재직중",7.8,8.7,4.8,3.1,224
(주)동원엔터프라이즈,음식료·외식·프랜차이즈,"872억 1,968만원","15,000명 재직중",7.9,7.8,7.2,2.2,259
